,district,rooms,size,level,max_levels,price,rooms_size,size_level,avarege_level
141,Яшнободский,1,37.0,5,8,13071.0,37.0,7.4,0.625
142,Мирзо-Улугбекский,2,69.65,4,9,45188.0,34.825,17.4125,0.4444444444444444
143,Учтепинский,4,88.0,4,5,53000.0,22.0,22.0,0.8
144,Яккасарайский,1,38.0,2,5,25600.0,38.0,19.0,0.4
145,Мирабадский,2,61.0,6,9,52000.0,30.5,10.166666666666666,0.6666666666666666
146,Мирзо-Улугбекский,2,45.0,3,7,44000.0,22.5,15.0,0.42857142857142855
147,Сергелийский,3,69.0,2,9,40000.0,23.0,34.5,0.2222222222222222
148,Мирзо-Улугбекский,2,55.13,5,9,35226.0,27.565,11.026,0.5555555555555556
149,Чиланзарский,3,67.0,4,4,54000.0,22.333333333333332,16.75,1.0
150,Шайхантахурский,1,38.0,5,5,22500.0,38.0,7.6,1.0
151,Мирзо-Улугбекский,2,67.0,2,4,36500.0,33.5,33.5,0.5
152,Яккасарайский,2,54.0,4,9,40000.0,27.0,13.5,0.4444444444444444
153,Чиланзарский,2,58.0,1,9,35000.0,29.0,58.0,0.1111111111111111
154,Мирабадский,4,100.0,5,8,142000.0,25.0,20.0,0.625
155,Чиланзарский,4,90.0,4,5,52000.0,22.5,22.5,0.8
156,Олмазорский,3,91.0,3,3,85000.0,30.333333333333332,30.333333333333332,1.0
157,Шайхантахурский,4,111.0,7,8,110000.0,27.75,15.857142857142858,0.875
158,Сергелийский,2,54.0,6,7,36000.0,27.0,9.0,0.8571428571428571
159,Яшнободский,3,69.0,5,5,52000.0,23.0,13.8,1.0
160,Юнусабадский,5,107.0,5,5,50000.0,21.4,21.4,1.0
161,Мирзо-Улугбекский,3,80.0,2,5,55000.0,26.666666666666668,40.0,0.4
162,Юнусабадский,2,63.0,5,9,42000.0,31.5,12.6,0.5555555555555556
163,Мирабадский,3,74.0,5,16,69000.0,24.666666666666668,14.8,0.3125
164,Яшнободский,2,58.0,5,5,28900.0,29.0,11.6,1.0
165,Мирзо-Улугбекский,2,62.0,9,9,34000.0,31.0,6.888888888888889,1.0
166,Мирзо-Улугбекский,3,107.0,2,8,85000.0,35.666666666666664,53.5,0.25
167,Олмазорский,1,40.41,2,4,25000.0,40.41,20.205,0.5
168,Чиланзарский,2,54.0,2,4,39000.0,27.0,27.0,0.5
169,Мирзо-Улугбекский,1,40.0,1,4,60000.0,40.0,40.0,0.25
170,Мирзо-Улугбекский,2,50.0,1,5,36500.0,25.0,50.0,0.2
171,Яшнободский,3,75.0,5,9,42000.0,25.0,15.0,0.5555555555555556
172,Мирзо-Улугбекский,3,84.0,7,8,85000.0,28.0,12.0,0.875
173,Мирзо-Улугбекский,3,117.0,2,5,125000.0,39.0,58.5,0.4
174,Мирзо-Улугбекский,3,70.0,5,5,37000.0,23.333333333333332,14.0,1.0
175,Мирзо-Улугбекский,1,47.0,2,9,42000.0,47.0,23.5,0.2222222222222222
176,Чиланзарский,2,56.0,2,5,36000.0,28.0,28.0,0.4
177,Чиланзарский,1,42.0,3,9,28000.0,42.0,14.0,0.3333333333333333
178,Чиланзарский,2,60.0,5,9,34000.0,30.0,12.0,0.5555555555555556
179,Чиланзарский,1,32.0,2,5,28500.0,32.0,16.0,0.4
180,Чиланзарский,1,42.0,2,5,28500.0,42.0,21.0,0.4
181,Чиланзарский,2,60.0,2,9,34500.0,30.0,30.0,0.2222222222222222
182,Чиланзарский,2,54.0,1,4,34500.0,27.0,54.0,0.25
183,Чиланзарский,1,42.0,1,5,25500.0,42.0,42.0,0.2
184,Чиланзарский,2,60.0,2,9,43500.0,30.0,30.0,0.2222222222222222
185,Мирабадский,2,72.0,7,9,63000.0,36.0,10.285714285714286,0.7777777777777778
186,Яшнободский,3,80.0,1,4,39999.0,26.666666666666668,80.0,0.25
187,Чиланзарский,1,33.0,2,4,24500.0,33.0,16.5,0.5
188,Юнусабадский,2,61.0,3,5,41000.0,30.5,20.333333333333332,0.6
190,Мирзо-Улугбекский,2,63.0,5,5,36000.0,31.5,12.6,1.0
191,Олмазорский,2,60.0,5,5,34000.0,30.0,12.0,1.0
192,Чиланзарский,1,29.0,2,4,23000.0,29.0,14.5,0.5
193,Мирзо-Улугбекский,2,63.0,5,5,36000.0,31.5,12.6,1.0
194,Учтепинский,2,48.0,4,5,28500.0,24.0,12.0,0.8
196,Чиланзарский,2,45.0,4,4,47000.0,22.5,11.25,1.0
197,Олмазорский,4,122.0,5,5,95000.0,30.5,24.4,1.0
198,Юнусабадский,1,42.0,2,4,44000.0,42.0,21.0,0.5
199,Мирзо-Улугбекский,2,50.0,1,4,45000.0,25.0,50.0,0.25
200,Мирзо-Улугбекский,5,100.0,4,4,48000.0,20.0,25.0,1.0
201,Мирзо-Улугбекский,2,60.0,4,4,32000.0,30.0,15.0,1.0
203,Яккасарайский,2,50.0,2,4,47000.0,25.0,25.0,0.5
204,Мирзо-Улугбекский,3,78.0,5,9,70500.0,26.0,15.6,0.5555555555555556
205,Яккасарайский,4,164.0,5,6,170000.0,41.0,32.8,0.8333333333333334
206,Мирзо-Улугбекский,2,60.0,3,5,30500.0,30.0,20.0,0.6
207,Чиланзарский,1,42.0,2,4,26000.0,42.0,21.0,0.5
208,Чиланзарский,3,70.0,4,4,37500.0,23.333333333333332,17.5,1.0
209,Чиланзарский,1,35.0,1,5,26500.0,35.0,35.0,0.2
210,Чиланзарский,2,47.0,2,4,32000.0,23.5,23.5,0.5
211,Чиланзарский,1,36.0,2,5,26500.0,36.0,18.0,0.4
212,Чиланзарский,2,50.0,2,5,34500.0,25.0,25.0,0.4
213,Чиланзарский,2,52.0,2,4,36500.0,26.0,26.0,0.5
214,Яшнободский,2,46.0,2,4,24500.0,23.0,23.0,0.5
215,Чиланзарский,3,92.0,3,9,42500.0,30.666666666666668,30.666666666666668,0.3333333333333333
216,Чиланзарский,3,70.0,1,4,46000.0,23.333333333333332,70.0,0.25
217,Юнусабадский,3,70.0,2,4,38500.0,23.333333333333332,35.0,0.5
218,Мирзо-Улугбекский,2,60.0,7,8,36000.0,30.0,8.571428571428571,0.875
219,Мирзо-Улугбекский,2,55.0,3,5,35000.0,27.5,18.333333333333332,0.6
220,Мирзо-Улугбекский,2,63.0,4,9,55500.0,31.5,15.75,0.4444444444444444
221,Яккасарайский,2,89.0,4,12,81772.0,44.5,22.25,0.3333333333333333
222,Яккасарайский,1,55.0,1,12,50533.0,55.0,55.0,0.08333333333333333
223,Мирзо-Улугбекский,3,100.0,2,6,119000.0,33.333333333333336,50.0,0.3333333333333333
224,Мирзо-Улугбекский,4,208.0,2,3,93000.0,52.0,104.0,0.6666666666666666
225,Чиланзарский,1,35.0,1,4,23800.0,35.0,35.0,0.25
226,Чиланзарский,2,44.0,3,4,32900.0,22.0,14.666666666666666,0.75
227,Янгихаётский,2,61.0,3,7,36000.0,30.5,20.333333333333332,0.42857142857142855
228,Яшнободский,4,100.0,2,9,65000.0,25.0,50.0,0.2222222222222222
229,Чиланзарский,1,35.0,1,4,29800.0,35.0,35.0,0.25
230,Мирзо-Улугбекский,4,86.0,3,5,63000.0,21.5,28.666666666666668,0.6
231,Мирзо-Улугбекский,3,100.0,1,5,80000.0,33.333333333333336,100.0,0.2
232,Олмазорский,5,110.0,5,5,63500.0,22.0,22.0,1.0
233,Мирабадский,3,75.0,6,9,110000.0,25.0,12.5,0.6666666666666666
234,Олмазорский,3,70.0,1,5,62000.0,23.333333333333332,70.0,0.2
235,Шайхантахурский,3,70.0,4,5,36999.0,23.333333333333332,17.5,0.8
236,Яккасарайский,3,150.0,3,6,170000.0,50.0,50.0,0.5
237,Сергелийский,2,56.1,7,7,37000.0,28.05,8.014285714285714,1.0
238,Юнусабадский,4,83.0,3,5,54000.0,20.75,27.666666666666668,0.6
239,Учтепинский,2,49.0,4,4,23000.0,24.5,12.25,1.0
240,Чиланзарский,2,46.0,2,4,38500.0,23.0,23.0,0.5
241,Чиланзарский,2,46.0,4,4,36200.0,23.0,11.5,1.0
242,Чиланзарский,3,68.0,4,4,45000.0,22.666666666666668,17.0,1.0
243,Чиланзарский,3,65.0,1,5,45000.0,21.666666666666668,65.0,0.2
244,Чиланзарский,4,76.0,4,4,43000.0,19.0,19.0,1.0
245,Чиланзарский,1,42.0,2,5,26000.0,42.0,21.0,0.4
246,Чиланзарский,2,55.0,1,4,67000.0,27.5,55.0,0.25
247,Чиланзарский,4,76.0,5,5,45500.0,19.0,15.2,1.0
248,Чиланзарский,2,49.0,2,6,47000.0,24.5,24.5,0.3333333333333333
249,Чиланзарский,4,80.0,2,4,70000.0,20.0,40.0,0.5
250,Чиланзарский,5,142.0,5,5,120000.0,28.4,28.4,1.0
251,Чиланзарский,3,60.0,3,4,44000.0,20.0,20.0,0.75
252,Мирзо-Улугбекский,3,72.0,4,5,47000.0,24.0,18.0,0.8
253,Мирабадский,4,115.0,6,9,84000.0,28.75,19.166666666666668,0.6666666666666666
254,Яшнободский,4,100.0,2,3,77000.0,25.0,50.0,0.6666666666666666
255,Мирзо-Улугбекский,2,63.0,5,5,35000.0,31.5,12.6,1.0
256,Мирзо-Улугбекский,3,66.0,3,5,56000.0,22.0,22.0,0.6
257,Мирзо-Улугбекский,3,70.0,5,5,46500.0,23.333333333333332,14.0,1.0
258,Мирзо-Улугбекский,3,62.0,5,5,35000.0,20.666666666666668,12.4,1.0
259,Чиланзарский,2,50.0,1,4,34000.0,25.0,50.0,0.25
260,Юнусабадский,3,78.0,4,4,56000.0,26.0,19.5,1.0
261,Мирабадский,2,62.0,2,9,63000.0,31.0,31.0,0.2222222222222222
263,Яшнободский,3,63.0,4,4,40000.0,21.0,15.75,1.0
264,Мирзо-Улугбекский,4,91.0,1,5,75000.0,22.75,91.0,0.2
265,Шайхантахурский,3,81.0,6,9,54900.0,27.0,13.5,0.6666666666666666
266,Мирзо-Улугбекский,4,86.0,3,4,42000.0,21.5,28.666666666666668,0.75
267,Мирзо-Улугбекский,2,54.0,3,5,54500.0,27.0,18.0,0.6
268,Мирабадский,3,90.0,3,5,105000.0,30.0,30.0,0.6
269,Мирзо-Улугбекский,2,40.0,2,5,37000.0,20.0,20.0,0.4
270,Юнусабадский,1,45.0,5,5,24000.0,45.0,9.0,1.0
271,Олмазорский,3,89.55,7,9,40000.0,29.849999999999998,12.792857142857143,0.7777777777777778
272,Мирзо-Улугбекский,4,92.0,3,5,67000.0,23.0,30.666666666666668,0.6
274,Мирзо-Улугбекский,4,95.0,1,4,77000.0,23.75,95.0,0.25
275,Мирзо-Улугбекский,4,102.0,4,9,65000.0,25.5,25.5,0.4444444444444444
276,Олмазорский,2,65.0,5,9,31300.0,32.5,13.0,0.5555555555555556
277,Мирзо-Улугбекский,2,62.0,5,5,33500.0,31.0,12.4,1.0
278,Олмазорский,2,56.0,3,5,38500.0,28.0,18.666666666666668,0.6
279,Мирзо-Улугбекский,2,59.0,2,8,41500.0,29.5,29.5,0.25
280,Чиланзарский,3,96.0,6,9,64500.0,32.0,16.0,0.6666666666666666
281,Яшнободский,1,37.0,4,8,13075.0,37.0,9.25,0.5
282,Яккасарайский,2,70.0,8,9,48000.0,35.0,8.75,0.8888888888888888
283,Мирабадский,2,78.0,4,8,77000.0,39.0,19.5,0.5
284,Яккасарайский,4,145.0,7,8,115000.0,36.25,20.714285714285715,0.875
285,Мирзо-Улугбекский,3,100.0,2,5,128000.0,33.333333333333336,50.0,0.4
286,Яшнободский,2,54.0,4,4,33000.0,27.0,13.5,1.0
287,Мирабадский,3,70.0,2,4,66000.0,23.333333333333332,35.0,0.5
288,Яккасарайский,5,116.0,3,5,80000.0,23.2,38.666666666666664,0.6
289,Чиланзарский,3,72.0,8,9,37700.0,24.0,9.0,0.8888888888888888
290,Шайхантахурский,1,70.0,6,7,60000.0,70.0,11.666666666666666,0.8571428571428571
291,Мирзо-Улугбекский,2,60.0,9,9,28500.0,30.0,6.666666666666667,1.0
292,Чиланзарский,2,52.0,4,5,38000.0,26.0,13.0,0.8
293,Яккасарайский,3,95.0,7,8,65000.0,31.666666666666668,13.571428571428571,0.875
294,Чиланзарский,2,44.0,1,4,38000.0,22.0,44.0,0.25
295,Чиланзарский,2,42.0,3,4,36500.0,21.0,14.0,0.75
296,Чиланзарский,2,43.0,2,4,36500.0,21.5,21.5,0.5
297,Чиланзарский,3,77.0,5,5,95000.0,25.666666666666668,15.4,1.0
298,Чиланзарский,1,24.0,3,4,20000.0,24.0,8.0,0.75
299,Чиланзарский,1,30.0,1,4,26000.0,30.0,30.0,0.25
300,Чиланзарский,2,41.0,1,4,36000.0,20.5,41.0,0.25
301,Юнусабадский,2,46.0,2,4,36000.0,23.0,23.0,0.5
302,Чиланзарский,2,42.0,2,4,36500.0,21.0,21.0,0.5
303,Юнусабадский,2,51.0,3,4,45000.0,25.5,17.0,0.75
304,Учтепинский,3,62.0,5,5,33500.0,20.666666666666668,12.4,1.0
305,Яшнободский,1,50.0,5,12,25000.0,50.0,10.0,0.4166666666666667
306,Юнусабадский,4,107.0,6,9,75500.0,26.75,17.833333333333332,0.6666666666666666
309,Олмазорский,1,38.0,6,9,27500.0,38.0,6.333333333333333,0.6666666666666666
311,Яккасарайский,4,110.0,7,9,75000.0,27.5,15.714285714285714,0.7777777777777778
312,Олмазорский,2,55.62,5,9,31000.0,27.81,11.123999999999999,0.5555555555555556
313,Сергелийский,2,66.0,8,9,31507.0,33.0,8.25,0.8888888888888888
314,Яккасарайский,2,53.0,3,5,54000.0,26.5,17.666666666666668,0.6
315,Олмазорский,4,119.0,2,5,110000.0,29.75,59.5,0.4
316,Мирзо-Улугбекский,2,56.0,1,4,35000.0,28.0,56.0,0.25
317,Мирзо-Улугбекский,3,68.0,4,4,24000.0,22.666666666666668,17.0,1.0
318,Мирабадский,3,125.0,7,12,129999.0,41.666666666666664,17.857142857142858,0.5833333333333334
319,Яккасарайский,4,140.0,8,10,105000.0,35.0,17.5,0.8
320,Яккасарайский,4,141.0,7,7,95000.0,35.25,20.142857142857142,1.0
321,Учтепинский,4,74.0,4,4,47500.0,18.5,18.5,1.0
322,Мирзо-Улугбекский,2,63.0,5,5,34997.0,31.5,12.6,1.0
323,Учтепинский,2,41.0,4,4,32000.0,20.5,10.25,1.0
324,Мирабадский,2,52.0,3,5,37000.0,26.0,17.333333333333332,0.6
325,Чиланзарский,3,68.0,3,4,39000.0,22.666666666666668,22.666666666666668,0.75
326,Мирабадский,4,110.0,1,4,63500.0,27.5,110.0,0.25
327,Мирзо-Улугбекский,2,60.0,6,9,35500.0,30.0,10.0,0.6666666666666666
328,Чиланзарский,1,54.0,9,9,35000.0,54.0,6.0,1.0
329,Мирзо-Улугбекский,2,60.0,5,5,35000.0,30.0,12.0,1.0
331,Чиланзарский,2,46.0,3,4,37500.0,23.0,15.333333333333334,0.75
332,Чиланзарский,4,94.0,4,5,73000.0,23.5,23.5,0.8
333,Чиланзарский,2,58.0,1,9,40000.0,29.0,58.0,0.1111111111111111
334,Мирзо-Улугбекский,4,92.0,3,5,62000.0,23.0,30.666666666666668,0.6
335,Чиланзарский,3,70.0,3,4,55000.0,23.333333333333332,23.333333333333332,0.75
336,Чиланзарский,2,42.0,4,4,37400.0,21.0,10.5,1.0
337,Чиланзарский,2,42.0,4,4,35800.0,21.0,10.5,1.0
338,Чиланзарский,2,75.0,4,12,60000.0,37.5,18.75,0.3333333333333333
339,Юнусабадский,3,72.0,1,9,100000.0,24.0,72.0,0.1111111111111111
340,Учтепинский,3,85.0,7,9,52500.0,28.333333333333332,12.142857142857142,0.7777777777777778
341,Юнусабадский,2,65.0,5,9,44000.0,32.5,13.0,0.5555555555555556
342,Чиланзарский,2,65.0,9,9,56600.0,32.5,7.222222222222222,1.0
343,Чиланзарский,2,46.0,3,4,42000.0,23.0,15.333333333333334,0.75
344,Мирзо-Улугбекский,2,60.94,9,9,36542.0,30.47,6.771111111111111,1.0
347,Яшнободский,2,59.0,4,4,26500.0,29.5,14.75,1.0
348,Мирзо-Улугбекский,2,66.82,5,7,65000.0,33.41,13.363999999999999,0.7142857142857143
349,Чиланзарский,5,98.0,5,9,70000.0,19.6,19.6,0.5555555555555556
350,Мирзо-Улугбекский,2,48.0,1,4,34499.0,24.0,48.0,0.25
351,Учтепинский,3,92.0,8,9,46000.0,30.666666666666668,11.5,0.8888888888888888
352,Мирабадский,4,128.0,1,7,87000.0,32.0,128.0,0.14285714285714285
353,Мирабадский,2,56.0,2,5,37500.0,28.0,28.0,0.4
354,Яшнободский,1,45.0,1,5,36500.0,45.0,45.0,0.2
355,Чиланзарский,3,70.0,2,4,48000.0,23.333333333333332,35.0,0.5
